tensor(2.4414, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0475, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1370, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.9731, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.9421, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.9619, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2693, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5397, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.0863, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.0392, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.9388, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8828, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8685, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8917, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8581, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8652, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8666, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8631, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8666, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8286, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8163, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8162, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.8710, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7849, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7911, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7974, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7329, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7608, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7926, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.7787, device='cuda:0', grad_fn=<DivBackward0>)
